,Unnamed: 0,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
17,355450,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
18,355509,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
19,355514,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
20,355730,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
21,355935,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
22,356447,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
23,356477,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
24,356482,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
25,357245,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
26,357249,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
27,357277,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
28,357284,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
29,357703,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
30,358326,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
31,358360,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
32,359116,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
33,359200,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
