,Unnamed: 0,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
0,353905,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
1,353949,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
2,354028,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
3,354467,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
4,354472,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
5,354474,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
6,354625,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
7,354633,for_sale,531625.0,5.0,4.0,,"1613 Bernard Ct Unit 130, Hampton, GA, 30228",1613 Bernard Ct Unit 130,Hampton,Georgia,30228.0,3661.0,
8,354791,for_sale,525210.0,5.0,4.0,,"1616 Bernard Ct Unit 126, Hampton, GA, 30228",1616 Bernard Ct Unit 126,Hampton,Georgia,30228.0,3661.0,2022-10-31
9,354807,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
10,354815,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
11,355081,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
12,355083,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
13,355171,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
14,355217,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
15,355305,for_sale,481705.0,5.0,3.0,,"1617 Bernard Ct Unit 129, Hampton, GA, 30228",1617 Bernard Ct Unit 129,Hampton,Georgia,30228.0,3116.0,2022-07-20
16,355411,for_sale,490225.0,5.0,3.0,,"1604 Bernard Ct Unit 123, Hampton, GA, 30228",1604 Bernard Ct Unit 123,Hampton,Georgia,30228.0,3116.0,2022-10-27
